157.0.0.0,157.0.255.255,AS,CN,Jiangsu,"Xuzhou (Pizhou Shi)",34.3388,118.014
157.36.209.0,157.36.209.255,AS,IN,Haryana,Rewāri,28.199,76.6183
157.36.210.0,157.36.210.255,AS,IN,Haryana,Gohāna,29.1378,76.7025
157.36.211.0,157.36.211.255,AS,IN,Haryana,Rohtak,28.8945,76.5892
157.36.212.0,157.36.212.255,AS,IN,Haryana,Sonīpat,28.9948,77.0194
157.36.213.0,157.36.213.191,AS,IN,Haryana,"Kheri Sāmpla",28.7781,76.7756
157.36.213.192,157.36.214.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.36.215.0,157.36.215.255,AS,IN,Haryana,Rewāri,28.199,76.6183
157.36.216.0,157.36.216.95,AS,IN,Haryana,Ambāla,30.361,76.7978
157.36.216.96,157.36.217.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.36.218.0,157.36.218.255,AS,IN,Haryana,Barwāla,29.3675,75.9081
157.36.219.0,157.36.220.191,AS,IN,Haryana,Sirsa,29.5349,75.029
157.36.220.192,157.36.221.255,AS,IN,Haryana,Rewāri,28.199,76.6183
157.36.222.0,157.36.222.191,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.36.222.192,157.36.223.255,AS,IN,Haryana,Sirsa,29.5349,75.029
157.36.224.0,157.36.224.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.36.225.0,157.36.225.255,AS,IN,Haryana,Thānesar,29.9732,76.8321
157.36.226.0,157.36.226.255,AS,IN,Haryana,Ambāla,30.361,76.7978
157.36.227.0,157.36.228.31,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.36.228.32,157.36.228.255,AS,IN,Haryana,Sirsa,29.5349,75.029
157.36.229.0,157.36.229.255,AS,IN,Haryana,Bhiwāni,28.793,76.1397
157.36.230.0,157.36.231.127,AS,IN,Haryana,Sirsa,29.5349,75.029
157.36.231.128,157.36.233.255,AS,IN,Haryana,Rewāri,28.199,76.6183
157.36.234.0,157.36.234.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.36.235.0,157.36.235.255,AS,IN,Haryana,Bhiwāni,28.793,76.1397
157.36.236.0,157.36.236.255,AS,IN,Haryana,Rewāri,28.199,76.6183
157.36.237.0,157.36.237.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.36.238.0,157.36.238.255,AS,IN,Haryana,Rewāri,28.199,76.6183
157.36.239.0,157.36.239.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.36.240.0,157.36.240.255,AS,IN,Haryana,Sirsa,29.5349,75.029
157.36.241.0,157.36.241.255,AS,IN,Haryana,Thānesar,29.9732,76.8321
157.36.242.0,157.36.242.255,AS,IN,Haryana,Sirsa,29.5349,75.029
157.36.243.0,157.36.245.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.36.246.0,157.36.246.255,AS,IN,Haryana,Sirsa,29.5349,75.029
157.36.247.0,157.36.247.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.36.248.0,157.36.248.255,AS,IN,Haryana,Kaithal,29.8015,76.3996
157.36.249.0,157.36.249.255,AS,IN,Haryana,Bilāspur,30.3045,77.3042
157.36.250.0,157.36.250.255,AS,IN,Haryana,Farrukhnagar,28.4475,76.8239
157.36.251.0,157.36.251.255,AS,IN,Haryana,Maham,28.9691,76.295
157.36.252.0,157.36.252.255,AS,IN,Haryana,Sirsa,29.5349,75.029
157.36.253.0,157.36.253.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.36.254.0,157.36.254.255,AS,IN,Haryana,Pūnāhāna,27.8637,77.2043
157.36.255.0,157.36.255.255,AS,IN,Haryana,Sirsa,29.5349,75.029
157.37.0.0,157.37.6.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.7.0,157.37.7.255,AS,IN,Rajasthan,Anūpgarh,29.1911,73.2086
157.37.8.0,157.37.129.127,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.129.128,157.37.129.255,AS,IN,Rajasthan,Udaipur,24.5858,73.7135
157.37.130.0,157.37.130.255,AS,IN,Rajasthan,Bikaner,28.0176,73.3149
157.37.131.0,157.37.131.255,AS,IN,Rajasthan,Chidawa,28.2394,75.6404
157.37.132.0,157.37.132.255,AS,IN,Rajasthan,Gangāpur,26.4725,76.7174
157.37.133.0,157.37.133.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.134.0,157.37.134.255,AS,IN,Rajasthan,Kota,25.1825,75.8391
157.37.135.0,157.37.135.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.136.0,157.37.136.255,AS,IN,Rajasthan,Udaipur,24.5858,73.7135
157.37.137.0,157.37.138.127,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.138.128,157.37.138.255,AS,IN,Rajasthan,Jaipur,26.9196,75.7878
157.37.139.0,157.37.139.255,AS,IN,Rajasthan,Suratgarh,29.3215,73.8998
157.37.140.0,157.37.140.255,AS,IN,Rajasthan,Jaipur,26.9196,75.7878
157.37.141.0,157.37.141.255,AS,IN,Rajasthan,Bikaner,28.0176,73.3149
157.37.142.0,157.37.142.255,AS,IN,Rajasthan,Udaipur,24.5858,73.7135
157.37.143.0,157.37.143.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.144.0,157.37.144.255,AS,IN,Rajasthan,Bikaner,28.0176,73.3149
157.37.145.0,157.37.145.255,AS,IN,Rajasthan,Todabhim,26.9167,76.8167
157.37.146.0,157.37.146.255,AS,IN,Rajasthan,Bikaner,28.0176,73.3149
157.37.147.0,157.37.147.255,AS,IN,Rajasthan,Udaipur,24.5858,73.7135
157.37.148.0,157.37.148.255,AS,IN,Rajasthan,Rājaldesar,28.0285,74.4744
157.37.149.0,157.37.149.255,AS,IN,Rajasthan,Gangāpur,26.4725,76.7174
157.37.150.0,157.37.150.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.151.0,157.37.151.255,AS,IN,Rajasthan,Bikaner,28.0176,73.3149
157.37.152.0,157.37.152.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.153.0,157.37.153.255,AS,IN,Rajasthan,Jaipur,26.9196,75.7878
157.37.154.0,157.37.154.255,AS,IN,Rajasthan,Todabhim,26.9167,76.8167
157.37.155.0,157.37.155.255,AS,IN,Rajasthan,Bikaner,28.0176,73.3149
157.37.156.0,157.37.156.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.157.0,157.37.157.255,AS,IN,Rajasthan,Bikaner,28.0176,73.3149
157.37.158.0,157.37.158.255,AS,IN,Rajasthan,"Rāmganj Mandi",24.6465,75.9433
157.37.159.0,157.37.159.255,AS,IN,Rajasthan,Kota,25.1825,75.8391
157.37.160.0,157.37.160.255,AS,IN,Rajasthan,Bikaner,28.0176,73.3149
157.37.161.0,157.37.161.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.162.0,157.37.162.255,AS,IN,Rajasthan,Kota,25.1825,75.8391
157.37.163.0,157.37.163.255,AS,IN,Rajasthan,Suratgarh,29.3215,73.8998
157.37.164.0,157.37.164.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.165.0,157.37.165.255,AS,IN,Rajasthan,Phalodi,27.131,72.3683
157.37.166.0,157.37.166.255,AS,IN,Rajasthan,Jodhpur,26.2684,73.0059
157.37.167.0,157.37.167.255,AS,IN,Rajasthan,Udaipur,24.5858,73.7135
157.37.168.0,157.37.168.255,AS,IN,Rajasthan,Jaipur,26.9196,75.7878
157.37.169.0,157.37.169.255,AS,IN,Rajasthan,Alwar,27.5625,76.625
157.37.170.0,157.37.170.255,AS,IN,Rajasthan,Jodhpur,26.2684,73.0059
157.37.171.0,157.37.172.31,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.172.32,157.37.172.255,AS,IN,Rajasthan,Hanumāngarh,29.5818,74.3294
157.37.173.0,157.37.173.127,AS,IN,Rajasthan,Bikaner,28.0176,73.3149
157.37.173.128,157.37.174.255,AS,IN,Rajasthan,Jaipur,26.9196,75.7878
157.37.175.0,157.37.175.255,AS,IN,Rajasthan,Gangāpur,26.4725,76.7174
157.37.176.0,157.37.176.255,AS,IN,Rajasthan,Jodhpur,26.2684,73.0059
157.37.177.0,157.37.177.255,AS,IN,Rajasthan,Jaipur,26.9196,75.7878
157.37.178.0,157.37.178.255,AS,IN,Rajasthan,Bikaner,28.0176,73.3149
157.37.179.0,157.37.180.255,AS,IN,Rajasthan,Udaipur,24.5858,73.7135
157.37.181.0,157.37.181.255,AS,IN,Rajasthan,Nāthdwāra,24.938,73.8239
157.37.182.0,157.37.182.255,AS,IN,Rajasthan,Bikaner,28.0176,73.3149
157.37.183.0,157.37.183.255,AS,IN,Rajasthan,Gangāpur,26.4725,76.7174
157.37.184.0,157.37.184.255,AS,IN,Rajasthan,Ajmer,26.4521,74.6387
157.37.185.0,157.37.185.255,AS,IN,Rajasthan,Bikaner,28.0176,73.3149
157.37.186.0,157.37.186.63,AS,IN,Rajasthan,Udaipur,24.5858,73.7135
157.37.186.64,157.37.188.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.189.0,157.37.189.255,AS,IN,Rajasthan,Udaipur,24.5858,73.7135
157.37.190.0,157.37.190.255,AS,IN,Rajasthan,Karauli,26.4983,77.0275
157.37.191.0,157.37.191.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.192.0,157.37.192.255,AS,IN,Rajasthan,Bhiwadi,28.2102,76.8606
157.37.193.0,157.37.193.255,AS,IN,Rajasthan,Sīkar,27.6121,75.14
157.37.194.0,157.37.194.255,AS,IN,Rajasthan,Bharatpur,27.2173,77.4901
157.37.195.0,157.37.195.255,AS,IN,Rajasthan,Pindwāra,24.7975,73.0551
157.37.196.0,157.37.196.255,AS,IN,Rajasthan,Gangānagar,29.9201,73.875
157.37.197.0,157.37.197.255,AS,IN,Rajasthan,Jaipur,26.9196,75.7878
157.37.198.0,157.37.198.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.199.0,157.37.199.255,AS,IN,Rajasthan,Gangānagar,29.9201,73.875
157.37.200.0,157.37.202.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.203.0,157.37.203.63,AS,IN,Rajasthan,Kotputli,27.7021,76.1991
157.37.203.64,157.37.207.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.208.0,157.37.208.255,AS,IN,Rajasthan,Jaipur,26.9196,75.7878
157.37.209.0,157.37.209.255,AS,IN,Rajasthan,"Bari Sādri",24.4134,74.4733
157.37.210.0,157.37.210.255,AS,IN,Rajasthan,Jaipur,26.9196,75.7878
157.37.211.0,157.37.214.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.215.0,157.37.215.255,AS,IN,Rajasthan,Chittaurgarh,24.8896,74.624
157.37.216.0,157.37.219.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.220.0,157.37.220.255,AS,IN,Rajasthan,Shāhpura,27.3912,75.9596
157.37.221.0,157.37.221.255,AS,IN,Rajasthan,Govindgarh,27.5042,76.9994
157.37.222.0,157.37.222.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.223.0,157.37.223.255,AS,IN,Rajasthan,Udaipur,24.5858,73.7135
157.37.224.0,157.37.224.255,AS,IN,Rajasthan,Rājaldesar,28.0285,74.4744
157.37.225.0,157.37.225.255,AS,IN,Rajasthan,Jaipur,26.9196,75.7878
157.37.226.0,157.37.226.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.227.0,157.37.227.255,AS,IN,Rajasthan,Jaipur,26.9196,75.7878
157.37.228.0,157.37.228.255,AS,IN,Rajasthan,Jaipur,26.9124,75.7873
157.37.229.0,157.37.229.255,AS,IN,Rajasthan,Sojat,25.9249,73.6663
157.37.230.0,157.37.230.255,AS,IN,Haryana,Dhāruhera,28.2055,76.7969
157.37.231.0,157.37.233.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.234.0,157.37.234.255,AS,IN,Gujarat,Ahmedabad,23.0258,72.5873
157.37.235.0,157.37.235.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.236.0,157.37.236.255,AS,IN,Rajasthan,Suratgarh,29.3215,73.8998
157.37.237.0,157.37.237.255,AS,IN,Rajasthan,Bhilwara,25.3471,74.6408
157.37.238.0,157.37.238.255,AS,IN,Rajasthan,Jaipur,26.9196,75.7878
157.37.239.0,157.37.239.255,AS,IN,Rajasthan,Behror,27.8883,76.2811
157.37.240.0,157.37.240.255,AS,IN,Rajasthan,Jaipur,26.9196,75.7878
157.37.241.0,157.37.241.255,AS,IN,Rajasthan,Ajmer,26.4521,74.6387
157.37.242.0,157.37.242.255,AS,IN,Rajasthan,Niwai,26.3607,75.9184
157.37.243.0,157.37.243.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.244.0,157.37.244.255,AS,IN,Rajasthan,Rāni,25.3503,73.3089
157.37.245.0,157.37.246.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.247.0,157.37.247.255,AS,IN,Rajasthan,Nainwa,25.7715,75.8498
157.37.248.0,157.37.248.255,AS,IN,Rajasthan,Jaipur,26.9196,75.7878
157.37.249.0,157.37.249.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.250.0,157.37.251.255,AS,IN,Rajasthan,Bagar,28.1878,75.5001
157.37.252.0,157.37.252.255,AS,IN,Rajasthan,Kota,25.1825,75.8391
157.37.253.0,157.37.253.63,AS,IN,Rajasthan,Bilāra,26.1807,73.7055
157.37.253.64,157.37.254.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.37.255.0,157.37.255.255,AS,IN,Rajasthan,Bhilwara,25.3471,74.6408
157.38.0.0,157.38.127.255,AS,IN,Rajasthan,Kuchera,27.0238,74.2179
157.38.128.0,157.38.255.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.0.0,157.39.0.191,AS,IN,Punjab,Patiāla,30.3363,76.3922
157.39.0.192,157.39.2.63,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.2.64,157.39.2.255,AS,IN,Chandigarh,Chandigarh,30.7363,76.7884
157.39.3.0,157.39.4.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.5.0,157.39.5.255,AS,IN,Punjab,Amloh,30.6084,76.232
157.39.6.0,157.39.6.255,AS,IN,Punjab,Shāhkot,31.0817,75.3371
157.39.7.0,157.39.7.255,AS,IN,Punjab,Dhāriwāl,31.9562,75.3239
157.39.8.0,157.39.8.255,AS,IN,Punjab,Patiāla,30.3363,76.3922
157.39.9.0,157.39.9.255,AS,IN,Punjab,Batāla,31.8092,75.2029
157.39.10.0,157.39.10.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.11.0,157.39.11.255,AS,IN,Punjab,Kharar,30.7463,76.6469
157.39.12.0,157.39.12.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.13.0,157.39.13.255,AS,IN,Punjab,Amritsar,31.6223,74.8753
157.39.14.0,157.39.14.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.15.0,157.39.15.255,AS,IN,Haryana,Panchkula,30.6946,76.8504
157.39.16.0,157.39.16.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.17.0,157.39.17.255,AS,IN,Punjab,Kharar,30.7463,76.6469
157.39.18.0,157.39.18.255,AS,IN,Punjab,Mohali,30.68,76.7221
157.39.19.0,157.39.19.255,AS,IN,Chandigarh,Chandigarh,30.7363,76.7884
157.39.20.0,157.39.20.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.21.0,157.39.21.255,AS,IN,Punjab,"Bāgha Purāna",30.6881,75.0984
157.39.22.0,157.39.22.255,AS,IN,Chandigarh,Chandigarh,30.7363,76.7884
157.39.23.0,157.39.23.255,AS,IN,Punjab,Jalandhar,31.3256,75.5792
157.39.24.0,157.39.25.63,AS,IN,Punjab,Ludhiana,30.912,75.8538
157.39.25.64,157.39.25.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.26.0,157.39.26.255,AS,IN,Chandigarh,Chandigarh,30.7363,76.7884
157.39.27.0,157.39.27.255,AS,IN,Punjab,Bathinda,30.2075,74.9389
157.39.28.0,157.39.28.255,AS,IN,Chandigarh,Chandigarh,30.7363,76.7884
157.39.29.0,157.39.29.255,AS,IN,Punjab,Nābha,30.3758,76.1529
157.39.30.0,157.39.30.255,AS,IN,Punjab,Fazilka,30.4021,74.0284
157.39.31.0,157.39.31.207,AS,IN,Punjab,Ludhiana,30.912,75.8538
157.39.31.208,157.39.32.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.33.0,157.39.33.255,AS,IN,Punjab,Mohali,30.68,76.7221
157.39.34.0,157.39.34.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.35.0,157.39.35.255,AS,IN,Punjab,Phagwāra,31.2245,75.7739
157.39.36.0,157.39.36.255,AS,IN,Haryana,Panchkula,30.6946,76.8504
157.39.37.0,157.39.37.255,AS,IN,Punjab,Dhilwan,31.5143,75.3457
157.39.38.0,157.39.39.63,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.39.64,157.39.39.255,AS,IN,Punjab,Jalandhar,31.3256,75.5792
157.39.40.0,157.39.40.255,AS,IN,Haryana,Panchkula,30.6946,76.8504
157.39.41.0,157.39.41.255,AS,IN,Chandigarh,Chandigarh,30.7363,76.7884
157.39.42.0,157.39.42.255,AS,IN,Punjab,Samrāla,30.836,76.1932
157.39.43.0,157.39.43.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.44.0,157.39.44.255,AS,IN,Punjab,Ludhiana,30.912,75.8538
157.39.45.0,157.39.45.127,AS,IN,Punjab,"Māler Kotla",30.5309,75.8795
157.39.45.128,157.39.46.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.47.0,157.39.47.255,AS,IN,Punjab,Giddarbāha,30.1995,74.6663
157.39.48.0,157.39.48.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.49.0,157.39.49.255,AS,IN,Punjab,Māchhīwāra,30.9156,76.2002
157.39.50.0,157.39.51.23,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.51.24,157.39.51.191,AS,IN,Haryana,Panchkula,30.6946,76.8504
157.39.51.192,157.39.52.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.53.0,157.39.53.255,AS,IN,Punjab,"Māler Kotla",30.5309,75.8795
157.39.54.0,157.39.54.255,AS,IN,Chandigarh,Chandigarh,30.7363,76.7884
157.39.55.0,157.39.55.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.56.0,157.39.56.255,AS,IN,Punjab,Patiāla,30.3363,76.3922
157.39.57.0,157.39.57.255,AS,IN,Punjab,Dhanaula,30.2822,75.5734
157.39.58.0,157.39.58.255,AS,IN,Punjab,Shāhkot,31.0817,75.3371
157.39.59.0,157.39.60.31,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.60.32,157.39.60.255,AS,IN,Chandigarh,Chandigarh,30.7363,76.7884
157.39.61.0,157.39.61.255,AS,IN,Punjab,Jalandhar,31.3256,75.5792
157.39.62.0,157.39.62.255,AS,IN,Punjab,Pathānkot,32.2748,75.6529
157.39.63.0,157.39.63.255,AS,IN,Punjab,Rāmpura,30.256,75.2412
157.39.64.0,157.39.64.255,AS,IN,Punjab,Garhshankar,31.2154,76.1415
157.39.65.0,157.39.65.255,AS,IN,Chandigarh,Chandigarh,30.7363,76.7884
157.39.66.0,157.39.66.255,AS,IN,Punjab,Ludhiana,30.912,75.8538
157.39.67.0,157.39.67.255,AS,IN,Punjab,Malaut,30.2112,74.4818
157.39.68.0,157.39.68.255,AS,IN,Chandigarh,Chandigarh,30.7363,76.7884
157.39.69.0,157.39.70.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.71.0,157.39.71.255,AS,IN,Punjab,"Māler Kotla",30.5309,75.8795
157.39.72.0,157.39.72.255,AS,IN,Punjab,Firozpur,30.9257,74.6131
157.39.73.0,157.39.73.255,AS,IN,Haryana,Panchkula,30.6946,76.8504
157.39.74.0,157.39.74.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.75.0,157.39.75.159,AS,IN,Punjab,Nābha,30.3758,76.1529
157.39.75.160,157.39.77.31,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.77.32,157.39.77.255,AS,IN,Punjab,Ludhiana,30.912,75.8538
157.39.78.0,157.39.78.255,AS,IN,Punjab,Morinda,30.7901,76.4988
157.39.79.0,157.39.79.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.80.0,157.39.80.255,AS,IN,Punjab,Patiāla,30.3363,76.3922
157.39.81.0,157.39.81.63,AS,IN,Punjab,Ludhiana,30.912,75.8538
157.39.81.64,157.39.82.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.83.0,157.39.83.255,AS,IN,Chandigarh,Chandigarh,30.7363,76.7884
157.39.84.0,157.39.84.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.85.0,157.39.85.255,AS,IN,Punjab,"Kapurthala Town",31.3801,75.3811
157.39.86.0,157.39.86.255,AS,IN,Punjab,Patiāla,30.3363,76.3922
157.39.87.0,157.39.89.31,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.89.32,157.39.89.255,AS,IN,Punjab,"Māler Kotla",30.5309,75.8795
157.39.90.0,157.39.90.255,AS,IN,Punjab,Patiāla,30.3363,76.3922
157.39.91.0,157.39.91.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.92.0,157.39.92.255,AS,IN,Haryana,Panchkula,30.6946,76.8504
157.39.93.0,157.39.93.255,AS,IN,Punjab,Amritsar,31.6223,74.8753
157.39.94.0,157.39.94.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.95.0,157.39.95.127,AS,IN,Punjab,Ludhiana,30.912,75.8538
157.39.95.128,157.39.97.127,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.97.128,157.39.97.255,AS,IN,Punjab,Dhanaula,30.2822,75.5734
157.39.98.0,157.39.99.63,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.99.64,157.39.99.255,AS,IN,Chandigarh,Chandigarh,30.7363,76.7884
157.39.100.0,157.39.100.255,AS,IN,Punjab,Patiāla,30.3363,76.3922
157.39.101.0,157.39.101.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.102.0,157.39.102.255,AS,IN,Punjab,Amloh,30.6084,76.232
157.39.103.0,157.39.104.107,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.104.108,157.39.104.235,AS,IN,Punjab,Farīdkot,30.674,74.7558
157.39.104.236,157.39.105.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.106.0,157.39.106.255,AS,IN,Chandigarh,Chandigarh,30.7363,76.7884
157.39.107.0,157.39.107.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.108.0,157.39.108.255,AS,IN,Punjab,Amritsar,31.6223,74.8753
157.39.109.0,157.39.109.255,AS,IN,Punjab,Mohali,30.68,76.7221
157.39.110.0,157.39.111.127,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.111.128,157.39.111.247,AS,IN,Punjab,Mohali,30.68,76.7221
157.39.111.248,157.39.113.143,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.113.144,157.39.113.159,AS,IN,Punjab,Mohali,30.68,76.7221
157.39.113.160,157.39.114.239,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.114.240,157.39.115.255,AS,IN,Haryana,Panchkula,30.6946,76.8504
157.39.116.0,157.39.116.255,AS,IN,Chandigarh,Chandigarh,30.7363,76.7884
157.39.117.0,157.39.117.255,AS,IN,Haryana,Panchkula,30.6946,76.8504
157.39.118.0,157.39.118.255,AS,IN,Punjab,Ludhiana,30.912,75.8538
157.39.119.0,157.39.119.255,AS,IN,Punjab,Bālāchor,31.0606,76.3017
157.39.120.0,157.39.121.255,AS,IN,Punjab,Kharar,30.7463,76.6469
157.39.122.0,157.39.122.191,AS,IN,Chandigarh,Chandigarh,30.7363,76.7884
157.39.122.192,157.39.123.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.124.0,157.39.124.207,AS,IN,Punjab,Patiāla,30.3363,76.3922
157.39.124.208,157.39.125.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.126.0,157.39.126.223,AS,IN,Punjab,Patiāla,30.3363,76.3922
157.39.126.224,157.39.129.127,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.129.128,157.39.129.255,AS,IN,Punjab,Phagwāra,31.2245,75.7739
157.39.130.0,157.39.130.255,AS,IN,Haryana,Panchkula,30.6946,76.8504
157.39.131.0,157.39.131.255,AS,IN,Punjab,Phagwāra,31.2245,75.7739
157.39.132.0,157.39.132.255,AS,IN,Punjab,Mohali,30.68,76.7221
157.39.133.0,157.39.133.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.134.0,157.39.134.255,AS,IN,Punjab,Hoshiārpur,31.5372,75.9127
157.39.135.0,157.39.137.31,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.137.32,157.39.137.255,AS,IN,Punjab,Phagwāra,31.2245,75.7739
157.39.138.0,157.39.138.255,AS,IN,Punjab,Muktsar,30.4743,74.5166
157.39.139.0,157.39.139.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.140.0,157.39.140.255,AS,IN,Punjab,Patiāla,30.3363,76.3922
157.39.141.0,157.39.141.255,AS,IN,Haryana,Panchkula,30.6946,76.8504
157.39.142.0,157.39.142.255,AS,IN,Punjab,Dhilwan,31.5143,75.3457
157.39.143.0,157.39.144.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.145.0,157.39.145.255,AS,IN,Punjab,Phagwāra,31.2245,75.7739
157.39.146.0,157.39.146.255,AS,IN,Punjab,Bathinda,30.2075,74.9389
157.39.147.0,157.39.147.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.148.0,157.39.148.127,AS,IN,Haryana,Panchkula,30.6946,76.8504
157.39.148.128,157.39.149.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.150.0,157.39.150.255,AS,IN,Punjab,Bathinda,30.2075,74.9389
157.39.151.0,157.39.152.255,AS,IN,Punjab,Phagwāra,31.2245,75.7739
157.39.153.0,157.39.153.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.154.0,157.39.154.255,AS,IN,Punjab,Firozpur,30.9257,74.6131
157.39.155.0,157.39.157.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.39.158.0,157.39.159.31,AS,IN,Chandigarh,Chandigarh,30.7363,76.7884
