14.0.0.0,14.0.7.255,AS,CN,Guangdong,Guangzhou,23.1322,113.267
14.78.10.0,14.78.10.127,AS,KR,Busan,"Busan (Jeonggwan-myeon)",35.3303,129.186
14.78.10.128,14.78.47.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.78.48.0,14.78.48.127,AS,KR,Gyeongsangnam-do,"Changnyeong-gun (Changnyeong-eup)",35.5413,128.501
14.78.48.128,14.78.51.255,AS,KR,Gyeongsangnam-do,Jinju-si,35.18,128.108
14.78.52.0,14.78.201.127,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.78.201.128,14.78.201.255,AS,KR,Jeju-do,"Jeju-si (Yeon-dong)",33.4881,126.497
14.78.202.0,14.78.206.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.78.207.0,14.78.207.255,AS,KR,Jeju-do,"Seogwipo-si (Seogwi-dong)",33.2471,126.564
14.78.208.0,14.79.188.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.79.189.0,14.79.189.255,AS,KR,Busan,Busan,35.1391,129.057
14.79.190.0,14.80.79.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.80.80.0,14.80.80.255,AS,KR,Gyeongsangbuk-do,Yeongju-si,36.8057,128.624
14.80.81.0,14.80.81.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.80.82.0,14.80.83.255,AS,KR,Gyeongsangbuk-do,Yeongju-si,36.8057,128.624
14.80.84.0,14.80.84.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.80.85.0,14.80.85.255,AS,KR,Gyeongsangbuk-do,"Yeongju-si (Punggi-eup)",36.8709,128.525
14.80.86.0,14.80.86.255,AS,KR,Gyeongsangbuk-do,"Uiseong-gun (Uiseong-eup)",36.3559,128.695
14.80.87.0,14.80.87.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.80.88.0,14.80.88.255,AS,KR,Gyeongsangbuk-do,"Uiseong-gun (Uiseong-eup)",36.3559,128.695
14.80.89.0,14.80.95.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.80.96.0,14.80.96.255,AS,KR,Busan,Busan,35.1391,129.057
14.80.97.0,14.80.204.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.80.205.0,14.80.205.255,AS,KR,Jeollanam-do,"Sinan-gun (Heuksan-myeon)",34.0736,125.11
14.80.206.0,14.82.88.191,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.82.88.192,14.82.88.255,AS,KR,Daejeon,"Daejeon (Songgangdong)",36.432,127.381
14.82.89.0,14.83.141.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.83.142.0,14.83.142.255,AS,KR,"North Chungcheong","Goesan-gun (Chilseong-myeon)",36.788,127.864
14.83.143.0,14.85.61.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.85.62.0,14.85.62.255,AS,KR,Gyeonggi-do,"Seongnam-si (Bundang-gu)",37.3827,127.119
14.85.63.0,14.86.11.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.86.12.0,14.86.12.255,AS,KR,Gyeongsangnam-do,"Yangsan-si (Jungbu-dong)",35.3393,129.031
14.86.13.0,14.86.13.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.86.14.0,14.86.14.255,AS,KR,Gyeongsangnam-do,"Yangsan-si (Deokgye-dong)",35.3738,129.15
14.86.15.0,14.86.15.255,AS,KR,Ulsan,"Yangsan-si (Samho-dong)",35.412,129.179
14.86.16.0,14.86.52.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.86.53.0,14.86.53.255,AS,KR,Ulsan,"Ulsan (Hwangseong-dong)",35.4666,129.358
14.86.54.0,14.86.54.255,AS,KR,Ulsan,"Ulsan (Beomseo-eup)",35.6036,129.248
14.86.55.0,14.86.59.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.86.60.0,14.86.60.255,AS,KR,Gyeonggi-do,Seongnam-si,37.4449,127.139
14.86.61.0,14.86.77.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.86.78.0,14.86.78.255,AS,KR,Busan,"Busan (Yeonsan-dong)",35.1816,129.088
14.86.79.0,14.86.138.63,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.86.138.64,14.86.138.191,AS,KR,Gyeongsangbuk-do,"Pohang-si (Nam-gu)",36.0086,129.359
14.86.138.192,14.86.140.63,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.86.140.64,14.86.140.127,AS,KR,Gyeongsangbuk-do,"Pohang-si (Buk-gu)",36.0418,129.366
14.86.140.128,14.86.153.127,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.86.153.128,14.86.153.255,AS,KR,Gyeongsangbuk-do,"Uljin County (Wonnam-myeon)",36.8696,129.352
14.86.154.0,14.86.158.127,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.86.158.128,14.86.158.255,AS,KR,Gyeongsangbuk-do,"Pohang-si (Buk-gu)",36.0418,129.366
14.86.159.0,14.90.3.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.90.4.0,14.90.4.255,AS,KR,Incheon,"Incheon (Sangok-dong)",37.5007,126.701
14.90.5.0,14.90.6.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.90.7.0,14.90.7.255,AS,KR,Incheon,"Incheon (Sangok-dong)",37.5007,126.701
14.90.8.0,14.90.11.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.90.12.0,14.90.12.255,AS,KR,Gyeonggi-do,"Gimpo-si (Sau-dong)",37.6192,126.73
14.90.13.0,14.90.13.255,AS,KR,Gyeonggi-do,"Bucheon-si (Wonmi-gu)",37.4966,126.787
14.90.14.0,14.90.129.127,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.90.129.128,14.90.129.255,AS,KR,Gyeonggi-do,"Seongnam-si (Sujeong-gu)",37.4502,127.146
14.90.130.0,14.90.153.31,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.90.153.32,14.90.153.255,AS,KR,Gyeonggi-do,"Icheon-si (Changjeon-dong)",37.2826,127.446
14.90.154.0,14.90.155.191,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.90.155.192,14.90.155.255,AS,KR,Gyeonggi-do,"Icheon-si (Changjeon-dong)",37.2826,127.446
14.90.156.0,14.90.171.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.90.172.0,14.90.172.255,AS,KR,Gyeonggi-do,"Yongin-si (Suji-gu)",37.3222,127.097
14.90.173.0,14.90.173.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.90.174.0,14.90.174.255,AS,KR,Gyeonggi-do,"Suwon (Yeongtong-gu)",37.2595,127.047
14.90.175.0,14.90.175.255,AS,KR,Gyeonggi-do,"Suwon (Jangan-gu)",37.3038,127.01
14.90.176.0,14.90.207.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.90.208.0,14.90.208.255,AS,KR,Gyeonggi-do,"Osan-si (Osan-dong)",37.1512,127.075
14.90.209.0,14.90.210.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.90.211.0,14.90.211.255,AS,KR,Seoul,"Seoul (Garak-dong)",37.4953,127.116
14.90.212.0,14.90.216.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.90.217.0,14.90.217.255,AS,KR,Busan,Busan,35.1391,129.057
14.90.218.0,14.90.218.255,AS,KR,Seoul,"Seoul (Bangbae-dong)",37.4799,126.993
14.90.219.0,14.90.219.255,AS,KR,Seoul,"Seoul (Dogok-dong)",37.4898,127.044
14.90.220.0,14.90.227.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.90.228.0,14.90.228.255,AS,KR,Seoul,"Seoul (Dogok-dong)",37.4898,127.044
14.90.229.0,14.90.231.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.90.232.0,14.90.232.255,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
14.90.233.0,14.90.233.255,AS,KR,Seoul,"Seoul (Dogok-dong)",37.4898,127.044
14.90.234.0,14.90.235.255,AS,KR,Busan,Busan,35.1391,129.057
14.90.236.0,14.90.236.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.90.237.0,14.90.237.255,AS,KR,Seoul,"Seoul (Deungchon-dong)",37.5587,126.853
14.90.238.0,14.92.39.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.92.40.0,14.92.40.255,AS,KR,Chungcheongnam-do,"Gongju-si (Gyo-dong)",36.459,127.119
14.92.41.0,14.92.190.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.92.191.0,14.92.191.255,AS,KR,Chungcheongnam-do,"Hongseong-gun (Hongseong-eup)",36.6014,126.662
14.92.192.0,14.93.32.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.93.33.0,14.93.33.255,AS,KR,Daejeon,Daejeon,36.3545,127.384
14.93.34.0,14.93.86.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.93.87.0,14.93.87.255,AS,KR,Jeollabuk-do,"Jeonju-si (Dongbu-daero)",35.8488,127.146
14.93.88.0,14.95.255.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
14.96.0.0,14.96.15.255,AS,IN,Maharashtra,"Navi Mumbai",19.033,73.0297
14.96.16.0,14.96.31.255,AS,IN,Telangana,Hyderabad,17.385,78.4867
14.96.32.0,14.96.63.255,AS,IN,Maharashtra,"Navi Mumbai",19.033,73.0297
14.96.64.0,14.96.79.255,AS,IN,"West Bengal",Kolkata,22.5726,88.3639
14.96.80.0,14.96.114.255,AS,IN,Maharashtra,"Navi Mumbai",19.033,73.0297
14.96.115.0,14.96.115.255,AS,IN,Maharashtra,Kharakvasla,18.44,73.7755
14.96.116.0,14.96.239.255,AS,IN,Maharashtra,"Navi Mumbai",19.033,73.0297
14.96.240.0,14.96.247.255,AS,IN,Telangana,Hyderabad,17.385,78.4867
14.96.248.0,14.97.184.255,AS,IN,Maharashtra,"Navi Mumbai",19.033,73.0297
14.97.185.0,14.97.185.255,AS,IN,Maharashtra,Chikhli,20.4561,76.3637
14.97.186.0,14.97.255.255,AS,IN,Maharashtra,"Navi Mumbai",19.033,73.0297
14.98.0.0,14.98.29.255,AS,IN,Maharashtra,"Mumbai (Chinchpokli)",18.9833,72.8333
14.98.30.0,14.98.30.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
14.98.31.0,14.98.50.255,AS,IN,Maharashtra,"Mumbai (Chinchpokli)",18.9833,72.8333
14.98.51.0,14.98.51.255,AS,IN,Kerala,Trivandrum,8.4855,76.9492
14.98.52.0,14.98.146.255,AS,IN,Maharashtra,"Mumbai (Chinchpokli)",18.9833,72.8333
14.98.147.0,14.98.147.255,AS,IN,"Tamil Nadu",Salem,11.6538,78.1554
14.98.148.0,14.98.163.255,AS,IN,Maharashtra,"Mumbai (Chinchpokli)",18.9833,72.8333
14.98.164.0,14.98.164.255,AS,IN,Telangana,Bālāpur,17.3102,78.4997
14.98.165.0,14.98.223.255,AS,IN,Maharashtra,"Mumbai (Chinchpokli)",18.9833,72.8333
14.98.224.0,14.98.225.255,AS,IN,"Tamil Nadu",Chennai,13.0524,80.2508
14.98.226.0,14.98.229.255,AS,IN,Delhi,"New Delhi",28.6353,77.225
14.98.230.0,14.98.233.255,AS,IN,Karnataka,Bengaluru,12.9716,77.5946
14.98.234.0,14.98.236.255,AS,IN,"Tamil Nadu",Chennai,13.0524,80.2508
14.98.237.0,14.98.237.255,AS,IN,Kerala,Avanoor,10.6083,76.1762
14.98.238.0,14.98.239.255,AS,IN,Delhi,"New Delhi",28.6353,77.225
14.98.240.0,14.98.240.255,AS,IN,"Uttar Pradesh",Kanpur,26.4652,80.3497
14.98.241.0,14.98.241.255,AS,IN,Delhi,"New Delhi",28.6353,77.225
14.98.242.0,14.98.245.255,AS,IN,Telangana,Hyderabad,17.385,78.4867
14.98.246.0,14.98.246.255,AS,IN,Gujarat,Ahmedabad,23.0225,72.5714
14.98.247.0,14.98.248.255,AS,IN,Maharashtra,"Navi Mumbai",19.033,73.0297
14.98.249.0,14.98.249.255,AS,IN,Gujarat,Ahmedabad,23.0225,72.5714
14.98.250.0,14.98.251.255,AS,IN,"West Bengal",Kolkata,22.5726,88.3639
14.98.252.0,14.98.252.255,AS,IN,"Tamil Nadu",Chennai,13.0524,80.2508
14.98.253.0,14.98.253.255,AS,IN,"West Bengal",Kolkata,22.5726,88.3639
14.98.254.0,14.98.254.255,AS,IN,Karnataka,Bengaluru,12.9716,77.5946
14.98.255.0,14.98.255.255,AS,IN,Maharashtra,"Navi Mumbai",19.033,73.0297
14.99.0.0,14.99.0.255,AS,IN,Karnataka,Bengaluru,12.9716,77.5946
14.99.1.0,14.99.1.255,AS,IN,"Tamil Nadu",Chennai,13.0524,80.2508
14.99.2.0,14.99.3.255,AS,IN,Karnataka,Bengaluru,12.9716,77.5946
14.99.4.0,14.99.4.255,AS,IN,"Tamil Nadu",Chennai,13.0524,80.2508
14.99.5.0,14.99.7.255,AS,IN,Karnataka,Bengaluru,12.9716,77.5946
14.99.8.0,14.99.9.255,AS,IN,Maharashtra,"Navi Mumbai (MIDC Industrial Area)",19.0628,73.021
14.99.10.0,14.99.13.31,AS,IN,"Tamil Nadu",Chennai,13.0524,80.2508
14.99.13.32,14.99.13.255,AS,IN,Maharashtra,"Navi Mumbai (MIDC Industrial Area)",19.0628,73.021
14.99.14.0,14.99.15.255,AS,IN,"Tamil Nadu",Chennai,13.0524,80.2508
14.99.16.0,14.99.23.255,AS,IN,Gujarat,Ahmedabad,23.0225,72.5714
14.99.24.0,14.99.24.255,AS,IN,"Tamil Nadu",Chennai,13.0524,80.2508
14.99.25.0,14.99.25.255,AS,IN,"West Bengal",Kolkata,22.5726,88.3639
14.99.26.0,14.99.28.255,AS,IN,"Tamil Nadu",Chennai,13.0524,80.2508
14.99.29.0,14.99.29.255,AS,IN,"West Bengal",Kolkata,22.5726,88.3639
14.99.30.0,14.99.31.255,AS,IN,"Tamil Nadu",Chennai,13.0524,80.2508
14.99.32.0,14.99.39.255,AS,IN,Delhi,"New Delhi",28.6353,77.225
14.99.40.0,14.99.43.255,AS,IN,Telangana,Hyderabad,17.385,78.4867
14.99.44.0,14.99.44.255,AS,IN,"Tamil Nadu",Chennai,13.0524,80.2508
14.99.45.0,14.99.47.255,AS,IN,Telangana,Hyderabad,17.385,78.4867
14.99.48.0,14.99.48.255,AS,IN,Maharashtra,"Navi Mumbai (MIDC Industrial Area)",19.0628,73.021
14.99.49.0,14.99.51.255,AS,IN,Maharashtra,"Navi Mumbai",19.033,73.0297
14.99.52.0,14.99.53.255,AS,IN,Karnataka,Bengaluru,12.9716,77.5946
14.99.54.0,14.99.55.255,AS,IN,"Tamil Nadu",Chennai,13.0524,80.2508
14.99.56.0,14.99.61.31,AS,IN,Delhi,"New Delhi",28.6353,77.225
14.99.61.32,14.99.62.31,AS,IN,Maharashtra,"Navi Mumbai (MIDC Industrial Area)",19.0628,73.021
14.99.62.32,14.99.63.15,AS,IN,Delhi,"New Delhi",28.6353,77.225
14.99.63.16,14.99.63.255,AS,IN,Maharashtra,"Navi Mumbai (MIDC Industrial Area)",19.0628,73.021
14.99.64.0,14.99.71.255,AS,IN,"Tamil Nadu",Chennai,13.0524,80.2508
14.99.72.0,14.99.72.255,AS,IN,Karnataka,Bengaluru,12.9716,77.5946
14.99.73.0,14.99.80.255,AS,IN,"Tamil Nadu",Chennai,13.0524,80.2508
14.99.81.0,14.99.81.255,AS,IN,Karnataka,Bengaluru,12.9716,77.5946
14.99.82.0,14.99.87.255,AS,IN,"Tamil Nadu",Chennai,13.0524,80.2508
14.99.88.0,14.99.90.255,AS,IN,Maharashtra,"Navi Mumbai",19.033,73.0297
14.99.91.0,14.99.91.255,AS,IN,Delhi,"New Delhi",28.6353,77.225
14.99.92.0,14.99.92.255,AS,IN,Maharashtra,"Navi Mumbai",19.033,73.0297
14.99.93.0,14.99.93.255,AS,IN,Delhi,"New Delhi",28.6353,77.225
14.99.94.0,14.99.95.255,AS,IN,Maharashtra,"Navi Mumbai",19.033,73.0297
14.99.96.0,14.99.96.255,AS,IN,Gujarat,Ahmedabad,23.0225,72.5714
14.99.97.0,14.99.103.255,AS,IN,Maharashtra,"Navi Mumbai",19.033,73.0297
14.99.104.0,14.99.111.255,AS,IN,"Tamil Nadu",Chennai,13.0524,80.2508
14.99.112.0,14.99.255.255,AS,IN,Maharashtra,"Navi Mumbai",19.033,73.0297
14.100.0.0,14.100.24.255,AS,SG,,"Singapore (Orchard)",1.29936,103.838
14.100.25.0,14.100.25.255,AS,SG,,Singapore,1.28967,103.85
14.100.26.0,14.100.255.255,AS,SG,,"Singapore (Orchard)",1.29936,103.838
14.101.0.0,14.101.0.255,AS,JP,Ishikawa,Kanazawa,36.5613,136.656
14.101.1.0,14.101.1.255,AS,JP,Toyama,Toyama,36.7,137.217
14.101.2.0,14.101.4.255,AS,JP,Ishikawa,Kanazawa,36.5613,136.656
14.101.5.0,14.101.7.255,AS,JP,Hiroshima,Hiroshima,34.3852,132.455
14.101.8.0,14.101.8.255,AS,JP,Okayama,Sōja,34.6753,133.751
14.101.9.0,14.101.9.255,AS,JP,Hiroshima,Hiroshima,34.3852,132.455
14.101.10.0,14.101.11.255,AS,JP,Tokyo,Shinjuku,35.6938,139.704
14.101.12.0,14.101.12.255,AS,JP,Chiba,Chiba,35.6,140.117
14.101.13.0,14.101.13.255,AS,JP,Chiba,Ichihara,35.5167,140.083
14.101.14.0,14.101.14.255,AS,JP,Tochigi,Oyama,36.3147,139.8
14.101.15.0,14.101.17.255,AS,JP,Tokyo,Shinjuku,35.6938,139.704
14.101.18.0,14.101.18.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.19.0,14.101.19.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
14.101.20.0,14.101.20.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.21.0,14.101.21.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
14.101.22.0,14.101.24.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.25.0,14.101.32.255,AS,JP,Tokyo,Shinjuku,35.6938,139.704
14.101.33.0,14.101.36.255,AS,JP,Nagano,Nagano,36.6485,138.194
14.101.37.0,14.101.37.255,AS,JP,Tochigi,Oyama,36.3147,139.8
14.101.38.0,14.101.38.255,AS,JP,Nagano,Nagano,36.6485,138.194
14.101.39.0,14.101.40.255,AS,JP,Hokkaido,Sapporo,43.0621,141.354
14.101.41.0,14.101.41.255,AS,JP,Hokkaido,Sapporo,43.0667,141.35
14.101.42.0,14.101.42.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
14.101.43.0,14.101.43.255,AS,JP,Hokkaido,Sapporo,43.0621,141.354
14.101.44.0,14.101.44.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.45.0,14.101.48.255,AS,JP,Fukuoka,Fukuoka,33.5904,130.402
14.101.49.0,14.101.49.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.50.0,14.101.50.255,AS,JP,Fukuoka,Fukuoka,33.5904,130.402
14.101.51.0,14.101.51.255,AS,JP,Nagano,Nagano,36.6485,138.194
14.101.52.0,14.101.52.255,AS,JP,Tochigi,Oyama,36.3147,139.8
14.101.53.0,14.101.56.255,AS,JP,Nagano,Nagano,36.6485,138.194
14.101.57.0,14.101.58.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.59.0,14.101.59.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
14.101.60.0,14.101.60.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.61.0,14.101.61.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
14.101.62.0,14.101.62.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.63.0,14.101.63.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
14.101.64.0,14.101.64.255,AS,JP,Saitama,Honjō,36.2378,139.19
14.101.65.0,14.101.65.255,AS,JP,Gunma,Isesaki,36.3167,139.2
14.101.66.0,14.101.69.255,AS,JP,Tokyo,Shinjuku,35.6938,139.704
14.101.70.0,14.101.70.255,AS,JP,Tochigi,Oyama,36.3,139.8
14.101.71.0,14.101.71.255,AS,JP,Ibaraki,Tsuchiura,36.0905,140.21
14.101.72.0,14.101.75.255,AS,JP,Hiroshima,Hiroshima,34.3852,132.455
14.101.76.0,14.101.76.255,AS,JP,Tottori,Tottori-shi,35.5,134.233
14.101.77.0,14.101.77.255,AS,JP,Hiroshima,Hiroshima,34.3852,132.455
14.101.78.0,14.101.78.255,AS,JP,Fukuoka,Fukuoka,33.5904,130.402
14.101.79.0,14.101.79.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.80.0,14.101.83.255,AS,JP,Fukuoka,Fukuoka,33.5904,130.402
14.101.84.0,14.101.84.255,AS,JP,Hokkaido,Sapporo,43.0621,141.354
14.101.85.0,14.101.85.255,AS,JP,Hokkaido,Kitahiroshima,42.9758,141.567
14.101.86.0,14.101.86.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.87.0,14.101.88.255,AS,JP,Hokkaido,Eniwa,42.8936,141.576
14.101.89.0,14.101.89.255,AS,JP,Hokkaido,Ebetsu,43.1081,141.551
14.101.90.0,14.101.97.255,AS,JP,Tokyo,Shinjuku,35.6938,139.704
14.101.98.0,14.101.103.255,AS,JP,Gifu,Takayama,36.1461,137.252
14.101.104.0,14.101.105.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
14.101.106.0,14.101.106.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.107.0,14.101.107.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
14.101.108.0,14.101.110.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.111.0,14.101.114.255,AS,JP,Tokyo,Shinjuku,35.6938,139.704
14.101.115.0,14.101.115.255,AS,JP,Kanagawa,Isehara,35.3993,139.31
14.101.116.0,14.101.118.255,AS,JP,Tokyo,Shinjuku,35.6938,139.704
14.101.119.0,14.101.124.255,AS,JP,Fukuoka,Fukuoka,33.5904,130.402
14.101.125.0,14.101.130.255,AS,JP,Tokyo,Shinjuku,35.6938,139.704
14.101.131.0,14.101.131.255,AS,JP,Kanagawa,Hadano,35.3711,139.224
14.101.132.0,14.101.132.255,AS,JP,Tokyo,Shinjuku,35.6938,139.704
14.101.133.0,14.101.133.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
14.101.134.0,14.101.143.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.144.0,14.101.145.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
14.101.146.0,14.101.146.255,AS,JP,Hokkaido,Sapporo,43.0621,141.354
14.101.147.0,14.101.147.255,AS,JP,Hokkaido,Kitahiroshima,42.9758,141.567
14.101.148.0,14.101.148.255,AS,JP,Hokkaido,Sapporo,43.0667,141.35
14.101.149.0,14.101.151.255,AS,JP,Hokkaido,Sapporo,43.0621,141.354
14.101.152.0,14.101.157.255,AS,JP,Nagano,Nagano,36.6485,138.194
14.101.158.0,14.101.161.255,AS,JP,Tokyo,Shinjuku,35.6938,139.704
14.101.162.0,14.101.162.255,AS,JP,Ibaraki,Mito,36.35,140.45
14.101.163.0,14.101.163.255,AS,JP,Tokyo,Shinjuku,35.6938,139.704
14.101.164.0,14.101.165.255,AS,JP,Kanagawa,Minamiashigara,35.3195,139.11
14.101.166.0,14.101.168.255,AS,JP,Ishikawa,Kanazawa,36.5613,136.656
14.101.169.0,14.101.169.255,AS,JP,Toyama,Tonami,36.6205,136.943
14.101.170.0,14.101.173.255,AS,JP,Hiroshima,Hiroshima,34.3852,132.455
14.101.174.0,14.101.174.255,AS,JP,Hiroshima,Kure,34.2322,132.567
14.101.175.0,14.101.175.255,AS,JP,Hiroshima,Hiroshima,34.3852,132.455
14.101.176.0,14.101.176.255,AS,JP,Akita,Akita,39.7167,140.117
14.101.177.0,14.101.178.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.179.0,14.101.179.255,AS,JP,Aomori,Aomori,40.8167,140.733
14.101.180.0,14.101.180.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
14.101.181.0,14.101.181.255,AS,JP,Fukushima,Nihommatsu,37.5833,140.433
14.101.182.0,14.101.182.255,AS,JP,Fukuoka,Fukuoka,33.5904,130.402
14.101.183.0,14.101.183.255,AS,JP,Miyazaki,Miyakonojō,31.7333,131.067
14.101.184.0,14.101.186.255,AS,JP,Fukuoka,Fukuoka,33.5904,130.402
14.101.187.0,14.101.187.255,AS,JP,Kumamoto,Uto,32.6833,130.667
14.101.188.0,14.101.191.255,AS,JP,Tokyo,Shinjuku,35.6938,139.704
14.101.192.0,14.101.192.255,AS,JP,Chiba,Mobara,35.4258,140.296
14.101.193.0,14.101.195.255,AS,JP,Tokyo,Shinjuku,35.6938,139.704
14.101.196.0,14.101.196.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
14.101.197.0,14.101.197.255,AS,JP,Miyagi,Sendai,38.2667,140.867
14.101.198.0,14.101.198.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
14.101.199.0,14.101.199.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.200.0,14.101.200.255,AS,JP,Akita,Akita,39.7167,140.117
14.101.201.0,14.101.202.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.203.0,14.101.208.255,AS,JP,Tokyo,Shinjuku,35.6938,139.704
14.101.209.0,14.101.209.255,AS,JP,Tochigi,Shimotsuke,36.4132,139.866
14.101.210.0,14.101.210.255,AS,JP,Tokyo,Shinjuku,35.6938,139.704
14.101.211.0,14.101.215.255,AS,JP,Fukuoka,Fukuoka,33.5904,130.402
14.101.216.0,14.101.216.255,AS,JP,Fukuoka,Fukuoka,33.6,130.417
14.101.217.0,14.101.219.255,AS,JP,Hokkaido,Sapporo,43.0621,141.354
14.101.220.0,14.101.221.255,AS,JP,Hokkaido,Asahikawa,43.7706,142.365
14.101.222.0,14.101.223.255,AS,JP,Hokkaido,Sapporo,43.0621,141.354
14.101.224.0,14.101.230.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.101.231.0,14.101.231.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
14.101.232.0,14.101.238.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
